FIRSTNAME,MIDDLENAME,LASTNAME,EMAIL,VOTINGSCOPE
Joseph,Y,Morton,josephmorton@gmail.com,Undergraduate
Christopher,K,Collier,christophercollier@gmail.com,Graduate
Robert,U,Pierce,robertpierce@gmail.com,Diploma
Mark,D,Benton,markbenton@gmail.com,Undergraduate
Philip,A,Cabrera,philipcabrera@gmail.com,Undergraduate
Alison,P,Barnett,alisonbarnett@gmail.com,Diploma
Bailey,A,Chavez,baileychavez@gmail.com,Undergraduate
Lisa,A,Watson,lisawatson@gmail.com,Graduate
Jennifer,Y,Cruz,jennifercruz@gmail.com,Graduate
James,A,Smith,jamessmith@gmail.com,Undergraduate
Ryan,T,Ferguson,ryanferguson@gmail.com,Undergraduate
George,C,Barton,georgebarton@gmail.com,Graduate
Susan,Y,Hunter,susanhunter@gmail.com,Diploma
Andrew,Q,Taylor,andrewtaylor@gmail.com,Diploma
April,T,Fox,aprilfox@gmail.com,Graduate
Jason,P,Alvarado,jasonalvarado@gmail.com,Undergraduate
James,V,Anderson,jamesanderson@gmail.com,Diploma
Joseph,H,Barker,josephbarker@gmail.com,Undergraduate
Juan,A,Garcia,juangarcia@gmail.com,Undergraduate
Ashley,O,Evans,ashleyevans@gmail.com,Diploma
Jerome,U,Bates,jeromebates@gmail.com,Diploma
Diana,A,Moss,dianamoss@gmail.com,Diploma
Catherine,C,Miller,catherinemiller@gmail.com,Diploma
Kenneth,Q,Webb,kennethwebb@gmail.com,Undergraduate
Jessica,M,Sullivan,jessicasullivan@gmail.com,Graduate
Kristina,W,Myers,kristinamyers@gmail.com,Undergraduate
Jill,U,Phillips,jillphillips@gmail.com,Graduate
Anna,G,Leblanc,annaleblanc@gmail.com,Diploma
Johnny,G,Drake,johnnydrake@gmail.com,Undergraduate
Alexis,B,Johnson,alexisjohnson@gmail.com,Graduate
Patty,Q,Hernandez,pattyhernandez@gmail.com,Undergraduate
Mark,G,Gonzalez,markgonzalez@gmail.com,Diploma
Amy,T,Meza,amymeza@gmail.com,Undergraduate
Chelsea,I,Washington,chelseawashington@gmail.com,Undergraduate
George,F,Smith,georgesmith@gmail.com,Undergraduate
Kelly,Z,Johnson,kellyjohnson@gmail.com,Undergraduate
Alicia,L,Morgan,aliciamorgan@gmail.com,Undergraduate
Audrey,S,Jenkins,audreyjenkins@gmail.com,Graduate
William,C,Pham,williampham@gmail.com,Graduate
William,K,Cooper,williamcooper@gmail.com,Diploma
Stephen,U,Harrington,stephenharrington@gmail.com,Undergraduate
Katherine,A,Garcia,katherinegarcia@gmail.com,Graduate
Frank,D,Young,frankyoung@gmail.com,Graduate
Charlotte,A,Moreno,charlottemoreno@gmail.com,Diploma
Valerie,J,Mason,valeriemason@gmail.com,Undergraduate
Anna,A,Watson,annawatson@gmail.com,Graduate
Whitney,S,Shepard,whitneyshepard@gmail.com,Diploma
Lori,E,Tapia,loritapia@gmail.com,Graduate
Dustin,S,Craig,dustincraig@gmail.com,Diploma
Janice,B,Bauer,janicebauer@gmail.com,Graduate
Frederick,W,Harris,frederickharris@gmail.com,Diploma
Deborah,C,Gordon,deborahgordon@gmail.com,Graduate
Christopher,A,Dillon,christopherdillon@gmail.com,Diploma
Brian,X,Wade,brianwade@gmail.com,Diploma
Brandon,W,Nichols,brandonnichols@gmail.com,Graduate
Rachel,H,Romero,rachelromero@gmail.com,Undergraduate
Carla,M,Hill,carlahill@gmail.com,Diploma
Tammy,L,Chaney,tammychaney@gmail.com,Graduate
Michael,M,Gutierrez,michaelgutierrez@gmail.com,Graduate
Nicole,H,Castro,nicolecastro@gmail.com,Graduate
Jimmy,C,Bishop,jimmybishop@gmail.com,Diploma
Diana,N,Miller,dianamiller@gmail.com,Undergraduate
Charles,P,Wallace,charleswallace@gmail.com,Diploma
Patricia,C,Johnson,patriciajohnson@gmail.com,Undergraduate
Michael,F,Thompson,michaelthompson@gmail.com,Graduate
Brandon,B,Juarez,brandonjuarez@gmail.com,Graduate
Alexis,Q,Reed,alexisreed@gmail.com,Undergraduate
Audrey,P,Boyle,audreyboyle@gmail.com,Undergraduate
Autumn,P,Hart,autumnhart@gmail.com,Diploma
Stacey,R,Humphrey,staceyhumphrey@gmail.com,Diploma
Suzanne,N,Eaton,suzanneeaton@gmail.com,Diploma
Roberto,H,Cherry,robertocherry@gmail.com,Diploma
Victoria,A,Roberts,victoriaroberts@gmail.com,Graduate
Angela,B,Pollard,angelapollard@gmail.com,Graduate
Gregory,F,Collier,gregorycollier@gmail.com,Diploma
Martin,S,Haynes,martinhaynes@gmail.com,Undergraduate
Heather,M,Harris,heatherharris@gmail.com,Graduate
Stephanie,W,Miller,stephaniemiller@gmail.com,Diploma
Lisa,X,Garcia,lisagarcia@gmail.com,Graduate
Megan,F,Fisher,meganfisher@gmail.com,Undergraduate
Johnathan,M,Mitchell,johnathanmitchell@gmail.com,Diploma
Michelle,P,Raymond,michelleraymond@gmail.com,Diploma
Bonnie,C,Smith,bonniesmith@gmail.com,Diploma
Scott,A,Jackson,scottjackson@gmail.com,Diploma
Chris,N,Jefferson,chrisjefferson@gmail.com,Diploma
Nicole,E,Koch,nicolekoch@gmail.com,Graduate
Tommy,S,Moore,tommymoore@gmail.com,Undergraduate
Eric,P,Shah,ericshah@gmail.com,Diploma
George,G,Scott,georgescott@gmail.com,Graduate
Seth,D,Johnson,sethjohnson@gmail.com,Undergraduate
Jeremy,V,Andrews,jeremyandrews@gmail.com,Undergraduate
Samuel,F,Barton,samuelbarton@gmail.com,Diploma
Anthony,T,Castro,anthonycastro@gmail.com,Graduate
Marie,J,Novak,marienovak@gmail.com,Diploma
Michelle,K,Miller,michellemiller@gmail.com,Diploma
Adrian,S,Atkins,adrianatkins@gmail.com,Diploma
