Email,Position,Partylist
raiden@gmail.com,President,Shogunate
hutao@gmail.com,President,
nahida@gmail.com,President,Sage
furina@gmail.com,President,
zhongli@gmail.com,Vice President,
alhaitham@gmail.com,Vice President,Sage
candace@gmail.com,Secretary,Sage
baizhu@gmail.com,Secretary,
mavuika@gmail.com,Treasurer,
beidou@gmail.com,Treasurer,
arlecchino@gmail.com,Auditor,
aloy@gmail.com,Public Relations,
amber@gmail.com,Representative,
itto@gmail.com,Representative,
aether@gmail.com,Board Member,
kaveh@gmail.com,Board Member,Sage
venti@gmail.com,Board Member,
albedo@gmail.com,Board Member,
barbara@gmail.com,Board Member,
bennet@gmail.com,Board Member,
