firstName,middleName,lastName,email,votingScope
Venti,A,Barbatos,venti@gmail.com,Undergraduate
Zhongli,B,Morax,zhongli@gmail.com,Graduate
Raiden,C,Shogun,raiden@gmail.com,Engineering
Nahida,D,Kusanali,nahida@gmail.com,Undergraduate
Furina,E,De Fontaine,furina@gmail.com,Graduate
Mavuika,F,Murata,mavuika@gmail.com,Engineering
Hu,G,Tao,hutao@gmail.com,Engineering
Kaveh,H,Arki,kaveh@gmail.com,Engineering
Al,I,Haitham,alhaitham@gmail.com,Graduate
Aether,J,Traveller,aether@gmail.com,Undergraduate
Albedo,K,Kreideprinz,albedo@gmail.com,Graduate
Aloy,L,Savior,aloy@gmail.com,Engineering
Amber,M,Outrider,amber@gmail.com,Undergraduate
Itto,N,Arataki,itto@gmail.com,Undergraduate
Peruere,O,Arlecchino,arlecchino@gmail.com,Graduate
Baizhu,P,Bubu,baizhu@gmail.com,Graduate
Barbara,Q,Pegg,barbara@gmail.com,Undergraduate
Beidou,R,Crux,beidou@gmail.com,Engineering
Bennett,S,Bouken,bennet@gmail.com,Undergraduate
Candace,T,Al-Ahmar,candace@gmail.com,Graduate
Brian,E,Sebastian,brianmay@gmail.com,Graduate
