Email,Position,Partylist
raiden@gmail.com,Level 1,Masipag
hutao@gmail.com,Level 1,
nahida@gmail.com,Level 1,Mabait
furina@gmail.com,Level 1,
zhongli@gmail.com,Vice Level 1,
alhaitham@gmail.com,Vice Level 1,Mabait
candace@gmail.com,Level 2,Mabait
baizhu@gmail.com,Level 2,
mavuika@gmail.com,Level 2,Masipag
beidou@gmail.com,Level 2,Masipag
aether@gmail.com,Level 3,
kaveh@gmail.com,Level 3,Mabait
venti@gmail.com,Level 3,
albedo@gmail.com,Level 3,Masipag
barbara@gmail.com,Level 3,Masipag
bennet@gmail.com,Level 3,
