firstName,middleName,lastName,email,votingScope
Venti,A,Barbatos,venti@gmail.com,Level 1
Zhongli,B,Morax,zhongli@gmail.com,Level 2
Raiden,C,Shogun,raiden@gmail.com,Level 3
Nahida,D,Kusanali,nahida@gmail.com,Level 1
Furina,E,De Fontaine,furina@gmail.com,Level 2
Mavuika,F,Murata,mavuika@gmail.com,Level 3
Hu,G,Tao,hutao@gmail.com,Level 1
Kaveh,H,Arki,kaveh@gmail.com,Level 2
Al,I,Haitham,alhaitham@gmail.com,Level 3
Aether,J,Traveller,aether@gmail.com,Level 1
Albedo,K,Kreideprinz,albedo@gmail.com,Level 2
Aloy,L,Savior,aloy@gmail.com,Level 3
Amber,M,Outrider,amber@gmail.com,Level 1
Itto,N,Arataki,itto@gmail.com,Level 2
Peruere,O,Arlecchino,arlecchino@gmail.com,Level 3
Baizhu,P,Bubu,baizhu@gmail.com,Level 1
Barbara,Q,Pegg,barbara@gmail.com,Level 2
Beidou,R,Crux,beidou@gmail.com,Level 3
Bennett,S,Bouken,bennet@gmail.com,Level 1
Candace,T,Al-Ahmar,candace@gmail.com,Level 2
Brian,E,Sebastian,brianmay@gmail.com,Level 3
